Time, Id, Bus, Data
145616425,621401A,98,0005010000000000
145619365,6314000,98,0000000000000000
145622166,4214001,98,0000D06B04421A00
145630645,4294001,98,0000000000000180
145652465,4394100,98,7EA7EB0003FD8000
145670125,4214001,98,0000D06B04421A00
145672664,2214000,98,006800000000
145674804,4394000,98,00000043
145680263,4294001,98,0000000000000180
145683184,421400B,98,00863E0400000000
145694663,4214006,98,0000000000000000
145699723,A194003,98,0000400000000000
145717204,6264000,98,091EB47FB0252500
145720121,4214001,98,0000D06B04331A00
145730461,4294001,98,0000000000000180
145737221,6214000,98,2C004000003A0B00
145752321,4394100,98,7EC7EA0003FD8000
145767201,63D4000,98,565B00000AC00000
145770140,4214001,98,0000D06B04331A00
145772281,4394000,98,00000043
145780260,4294001,98,0000000000000180
145783160,421400B,98,00863E0400000000
145794600,4214006,98,0000000000000000
145797479,6254000,98,80FFFF00FFFFFF00
145800320,C394003,98,C202000008016000
145820160,4214001,98,0000D06B04331A00
145830598,4294001,98,0000000000000180
145852338,4394100,98,7EA7EA0003FD8000
145866237,621401A,98,0005010000000000
145869176,6314000,98,0000000000000000
145871957,4214001,98,0000D06B04291A00
145874097,4394000,98,00000043
145880297,4294001,98,0000000000000180
145883196,421400B,98,00863E0400000000
145888897,E094000,98,001E04401C4B
145894695,4214006,98,0000000000000000
145896477,E094003,98,001E
145898437,E09400A,98,001A
145901336,6314003,98,2010300000000000
145903116,621400A,98,0400
145904896,E094020,98,000A
145906676,E09401A,98,001E
145911717,6314020,98,1000009C
145920137,4214001,98,0000D06B04291A00
145922677,2214000,98,006800000000
145930656,4294001,98,0000000000000180
145952295,4394100,98,7EB7EB0003FE0000
145970134,4214001,98,0000D06B04291A00
145972274,4394000,98,00000043
145980294,4294001,98,0000000000000180
145983194,421400B,98,00863E0400000000
145987215,6214000,98,2C004000003A0B00
145994615,4214006,98,0000000000000000
146012393,6284000,98,0000000000000000
146020653,4214001,98,0000D06B04221A00
146030633,4294001,98,0000000000000180
146047211,6254000,98,80FFFF00FFFFFF00
146052292,4394100,98,7EA7EB0003FE0000
146062412,2294000,98,0000000000000000
146070172,4214001,98,0000D06B04221A00
146072310,4394000,98,00000043
146080291,4294001,98,0000000000000180
146083191,421400B,98,00863E0400000000
146094631,4214006,98,0000000000000000
146116231,621401A,98,0005010000000000
146119170,6314000,98,0000000000000000
146121969,4214001,98,0000D06B04221A00
146130589,4294001,98,0000000000000180
146152429,4394100,98,7EA7EA0003FE0000
146170168,4214001,98,0000D06B04251A00
146172708,2214000,98,006800000000
146174848,4394000,98,00000043
146180308,4294001,98,0000000000000180
146183208,421400B,98,00863E0400000000
146194587,4214006,98,0000000000000000
146199286,C214003,98,004604012013
146217087,6264000,98,091EB47FB0232500
146220166,4214001,98,0000D06B04251A00
146230366,4294001,98,0000000000000180
146237206,6214000,98,2C004000003A0B00
146252325,4394100,98,7EA7EA0003FE0000
146267185,63D4000,98,565B00000AC00000
146270184,4214001,98,0000D06B04291A00
146272325,4394000,98,00000043
146280364,4294001,98,0000000000000180
146283264,421400B,98,00863E0400000000
146294563,4214006,98,0000000000000000
146297443,6254000,98,80FFFF00FFFFFF00
146300243,C054003,98,1781CAE188E70000
146320222,4214001,98,0000D06B04291A00
146330621,4294001,98,0000000000000180
146352281,4394100,98,7E97EB0003FE0000
146366221,621401A,98,0005010000000000
146369160,6314000,98,0000000000000000
146371941,4214001,98,0000D06B04291A00
146374080,4394000,98,00000043
146380341,4294001,98,0000000000000180
146383240,421400B,98,00863E0400000000
146394700,4214006,98,0000000000000000
146398480,621400A,98,0400
146401380,6314003,98,2010300000000000
146420260,4214001,98,0000D06B041B1A00
146422799,2214000,98,006800000000
146430618,4294001,98,0000000000000180
146452199,4394100,98,7ED7EB0003FE0000
146470259,4214001,98,0000D06B041B1A00
146472397,4394000,98,00000043
146480357,4294001,98,0000000000000180
146483256,421400B,98,00863E0400000000
146487197,6214000,98,2C004000003A0B00
146494577,4214006,98,0000000000000000
146499636,A3D4003,98,2CA51003B0000000
146512316,6284000,98,0000000000000000
146520275,4214001,98,0000D06B041B1A00
146530636,4294001,98,0000000000000180
146547215,6254000,98,80FFFF00FFFFFF00
146552274,4394100,98,7EA7EB0003FD8000
146570315,4214001,98,0000D06B041E1A00
146572455,4394000,98,00000043
146580372,4294001,98,0000000000000180
146583273,421400B,98,00863E0400000000
146594693,4214006,98,0000000000000000
146599633,A354003,98,2CA51003B0000000
146616413,621401A,98,0005010000000000
146619351,6314000,98,0000000000000000
146622252,4214001,98,0000D06B041E1A00
146630451,4294001,98,0000000000000180
146652270,4394100,98,7EA7EA0003FD8000
146670330,4214001,98,0000D06B041E1A00
146672870,2214000,98,006800000000
146675010,4394000,98,00000043
146680390,4294001,98,0000000000000180
146683290,421400B,98,00863E0400000000
146694529,4214006,98,0000000000000000
146699709,A194003,98,0000400000000000
146717069,6264000,98,091EB47FC0222500
146720730,4214001,98,0000D06B04331A00
146730430,4294001,98,0000000000000180
146737188,6214000,98,2C004000003A0B00
146752168,4394100,98,7EB7EB0003FE0000
146767167,63D4000,98,565B00000AC00000
146770327,4214001,98,0000D06B04331A00
146772467,4394000,98,00000043
146780467,4294001,98,0000000000000180
146783367,421400B,98,00863E0400000000
146794547,4214006,98,0000000000000000
146797427,6254000,98,80FFFF00FFFFFF00
146800267,C394003,98,C202000008016000
146820286,4214001,98,0000D06B04331A00
146830605,4294001,98,0000000000000180
146852204,4394100,98,7EA7EA0003FE0000
146866225,621401A,98,0005010000000000
146869164,6314000,98,0000000000000000
146871964,4214001,98,0000D06B04331A00
146874104,4394000,98,00000043
146880424,4294001,98,0000000000000180
146883322,421400B,98,00863E0400000000
146889083,E094000,98,001E04401C4B
146894583,4214006,98,0000000000000000
146896363,E094003,98,001E
146898464,E09400A,98,001A
146901363,6314003,98,2010300000000000
146903143,621400A,98,0400
146904923,E094020,98,000A
146906703,E09401A,98,001E
146911663,6314020,98,1800009C
146920284,4214001,98,0000D06B04331A00
146922822,2214000,98,006800000000
146930543,4294001,98,0000000000000180
146952161,4394100,98,7EB7EB0003FE0000
146970302,4214001,98,0000D06B04331A00
146972440,4394000,98,00000043
146980421,4294001,98,0000000000000180
146983320,421400B,98,00863E0400000000
146987180,6214000,98,2C004000003A0B00
146994560,4214006,98,0000000000000000
147012280,6284000,98,0000000000000000
147020379,4214001,98,0000D06B043E1A00
147030538,4294001,98,0000000000000180
147047299,6254000,98,80FFFF00FFFFFF00
147052299,4394100,98,7EB7EB0003FE0000
147062399,2294000,98,0000000000000000
147070378,4214001,98,0000D06B043E1A00
147072518,4394000,98,00000043
147080438,4294001,98,0000000000000180
147083337,421400B,98,00863E0400000000
147094557,4214006,98,0000000000000000
147114597,A354003,98,2CA5100400000000
147117476,621401A,98,0005010000000000
147120417,6314000,98,0000000000000000
147123297,4214001,98,0000D06B043E1A00
147126157,A3D4003,98,2CA5100400000000
147130495,4294001,98,0000000000000180
147152195,4394100,98,7EB7EA0003FE0000
147170335,4214001,98,0000D06B04421A00
147172874,2214000,98,006800000000
147175014,4394000,98,00000043
147180473,4294001,98,0000000000000180
147183375,421400B,98,00863E0400000000
147194494,4214006,98,0000000000000000
147199276,C214003,98,004604012013
147217053,6264000,98,091EB47FC0222500
147220353,4214001,98,0000D06B04421A00
147230511,4294001,98,0000000000000180
147237171,6214000,98,2C004000003A0B00
147252152,4394100,98,7EB7EB0003FE0000
147267151,63D4000,98,565B00000AC00000
147270311,4214001,98,0000D06B043A1A00
147272451,4394000,98,00000043
147280471,4294001,98,0000000000000180
147283370,421400B,98,00863E0400000000
147294631,4214006,98,0000000000000000
147297509,6254000,98,80FFFF00FFFFFF00
147300310,C054003,98,1781CAE188E70000
147320309,4214001,98,0000D06B043A1A00
147330529,4294001,98,0000000000000180
147352187,4394100,98,7E97EA0003FE0000
147366206,621401A,98,0005010000000000
147369147,6314000,98,0000000000000000
147371928,4214001,98,0000D06B043A1A00
147374068,4394000,98,00000043
147380466,4294001,98,0000000000000180
147383366,421400B,98,00863E0400000000
147394546,4214006,98,0000000000000000
147398487,621400A,98,0400
147401387,6314003,98,2010300000000000
147420346,4214001,98,0000D06B04291A00
147422885,2214000,98,006800000000
147430545,4294001,98,0000000000000180
147452144,4394100,98,7ED7EB0003FE0000
147470345,4214001,98,0000D06B04291A00
147472484,4394000,98,00000043
147480483,4294001,98,0000000000000180
147483383,421400B,98,00863E0400000000
147487242,6214000,98,2C004000003A0B00
147494543,4214006,98,0000000000000000
147499644,A3D4003,98,2CA5100400000000
147512324,6284000,98,0000000000000000
147520344,4214001,98,0000D06B04291A00
147530503,4294001,98,0000000000000180
147547242,6254000,98,80FFFF00FFFFFF00
147552222,4394100,98,7EA7EA0003FE0000
147570422,4214001,98,0000D06B041B1A00
147572562,4394000,98,00000043
147580502,4294001,98,0000000000000180
147583402,421400B,98,00863E0400000000
147594482,4214006,98,0000000000000000
147599600,A354003,98,2CA5100400000000
147616400,621401A,98,0005010000000000
147619342,6314000,98,0000000000000000
147622180,4214001,98,0000D06B041B1A00
147630520,4294001,98,0000000000000180
147652121,4394100,98,7EB7EB0003FE0000
147670459,4214001,98,0000D06B041B1A00
147672999,2214000,98,006800000000
147675139,4394000,98,00000043
147680560,4294001,98,0000000000000180
147683460,421400B,98,00863E0400000000
147694480,4214006,98,0000000000000000
147699698,A194003,98,0000400000000000
147717059,6264000,98,091EB47FC0232500
147720377,4214001,98,0000D06B04251A00
147730538,4294001,98,0000000000000180
147737177,6214000,98,2C004000003A0B00
147752116,4394100,98,7EB7EB0003FE0000
147767136,63D4000,98,565B00000AC00000
147770376,4214001,98,0000D06B04251A00
147772517,4394000,98,00000043
147780536,4294001,98,0000000000000180
147783436,421400B,98,00863E0400000000
147794616,4214006,98,0000000000000000
147797496,6254000,98,80FFFF00FFFFFF00
147800335,C394003,98,C202000008016000
147820394,4214001,98,0000D06B04251A00
147830534,4294001,98,0000000000000180
147852133,4394100,98,7EA7EB0003FD8000
147866192,621401A,98,0005010000000000
147869133,6314000,98,0000000000000000
147871973,4214001,98,0000D06B041B1A00
147874111,4394000,98,00000043
147880532,4294001,98,0000000000000180
147883432,421400B,98,00863E0400000000
147889052,E094000,98,001E04401C4B
147894492,4214006,98,0000000000000000
147896272,E094003,98,001E
147898493,E09400A,98,001A
147901393,6314003,98,2010300000000000
147903173,621400A,98,0400
147904953,E094020,98,000A
147906733,E09401A,98,001E
147911713,6314020,98,00000098
147920471,4214001,98,0000D06B041B1A00
147923012,2214000,98,006800000000
147930552,4294001,98,0000000000000180
147952190,4394100,98,7EA7EB0003FE0000
147970470,4214001,98,0000D06B041B1A00
147972610,4394000,98,00000043
147980551,4294001,98,0000000000000180
147983451,421400B,98,00863E0400000000
147987251,6214000,98,2C004000003A0B00
147994529,4214006,98,0000000000000000
148012289,6284000,98,0000000000000000
148020450,4214001,98,0000D06B04171A00
148030588,4294001,98,0000000000000180
148047148,6254000,98,80FFFF00FFFFFF00
148052109,4394100,98,7E97EB0003FE0000
148062227,2294000,98,0000000000000000
148070466,4214001,98,0000D06B04171A00
148072606,4394000,98,00000043
148080586,4294001,98,0000000000000180
148083486,421400B,98,00863E0400000000
148094526,4214006,98,0000000000000000
148116206,621401A,98,0005010000000000
148119145,6314000,98,0000000000000000
148121966,4214001,98,0000D06B04171A00
148130665,4294001,98,0000000000000180
148152105,4394100,98,7EC7EB0003FE0000
148170486,4214001,98,0000D06B04171A00
148173024,2214000,98,006800000000
148175164,4394000,98,00000043
148180584,4294001,98,0000000000000180
148183484,421400B,98,00863E0400000000
148194565,4214006,98,0000000000000000
148199265,C214003,98,004604012013
148217043,6264000,98,091EB47FC0242500
148220463,4214001,98,0000D06B04171900
148230963,4294001,98,0000000000000180
148237144,6214000,98,2C004000003A0B00
148252122,4394100,98,7EA7EB0003FD8000
148267122,63D4000,98,565B00000AC00000
148270500,4214001,98,0000D06B04051900
148272641,4394000,98,00000043
148280601,4294001,98,0000000000000180
148283501,421400B,98,00863E0400000000
148294620,4214006,98,0000000000000000
148297500,6254000,98,80FFFF00FFFFFF00
148300301,C054003,98,1781CAE188E70000
148320499,4214001,98,0000D06B04051900
148330640,4294001,98,0000000000000180
148352118,4394100,98,7EA7EB0003FD8000
148366199,621401A,98,0005010000000000
148369138,6314000,98,0000000000000000
148371958,4214001,98,0000D06B04051900
148374098,4394000,98,00000043
148380618,4294001,98,0000000000000180
148383517,421400B,98,00863E0400000000
148394616,4214006,98,0000000000000000
148398516,621400A,98,0400
148401417,6314003,98,2010300000000000
148420517,4214001,98,0000D06B04091900
148423055,2214000,98,006800000000
148430655,4294001,98,0000000000000180
148452195,4394100,98,7EB7EB0003FE0000
148470514,4214001,98,0000D06B04091900
148472654,4394000,98,00000043
148480634,4294001,98,0000000000000180
148483534,421400B,98,00863E0400000000
148487215,6214000,98,2C004000003A0B00
148494575,4214006,98,0000000000000000
148499634,A3D4003,98,2CA5100400000000
148512212,6284000,98,0000000000000000
148520533,4214001,98,0000D06B04091900
148530672,4294001,98,0000000000000180
148547132,6254000,98,80FFFF00FFFFFF00
148552132,4394100,98,7EA7EA0003FD8000
148570551,4214001,98,0000D06B04131900
148572691,4394000,98,00000043
148580670,4294001,98,0000000000000180
148583590,421400B,98,00863E0400000000
148594550,4214006,98,0000000000000000
148599590,A354003,98,2CA5100400000000
148616389,621401A,98,0005010000000000
148619330,6314000,98,0000000000000000
148622150,4214001,98,0000D06B04131900
148630669,4294001,98,0000000000000180
148652128,4394100,98,7EB7EA0003FD8000
148670826,4214001,98,0000D06B04131900
148673367,2214000,98,006800000000
148675507,4394000,98,00000043
148680926,4294001,98,0000000000000180
148683827,421400B,98,00863E0400000000
148694607,4214006,98,0000000000000000
148699687,A194003,98,0000400000000000
148717025,6264000,98,091EB47FC0242500
148720805,4214001,98,0000D06B04171900
148730985,4294001,98,0000000000000180
148737126,6214000,98,2C004000003A0B00
148752085,4394100,98,7EC7EB0003FE0000
148767104,63D4000,98,565B00000AC00000
148770804,4214001,98,0000D06B04171900
148772943,4394000,98,00000043
148780945,4294001,98,0000000000000180
148783843,421400B,98,00863E0400000000
148794584,4214006,98,0000000000000000
148797463,6254000,98,80FFFF00FFFFFF00
148800302,C394003,98,C202000008016000
148820802,4214001,98,0000D06B04171900
148831001,4294001,98,0000000000000180
148852140,4394100,98,7E97EA0003FE0000
148866181,621401A,98,0005010000000000
148869120,6314000,98,0000000000000000
148871901,4214001,98,0000D06B04221900
148874040,4394000,98,00000043
148880940,4294001,98,0000000000000180
148883841,421400B,98,00863E0400000000
148888981,E094000,98,001E04401C4B
148894619,4214006,98,0000000000000000
148896400,E094003,98,001E
148898500,E09400A,98,001A
148901401,6314003,98,2010300000000000
148903181,621400A,98,0400
148904960,E094020,98,000A
148906741,E09401A,98,001E
148911661,6314020,98,080000A8
148920801,4214001,98,0000D06B04221900
148923341,2214000,98,006800000000
148930941,4294001,98,0000000000000180
148952201,4394100,98,7EC7EA0003FE0000
148970799,4214001,98,0000D06B04221900
148972939,4394000,98,00000043
148980959,4294001,98,0000000000000180
148983858,421400B,98,00863E0400000000
148987119,6214000,98,2C004000003A0B00
148994538,4214006,98,0000000000000000
149012178,6284000,98,0000000000000000
149020858,4214001,98,0000D06B04331900
149030998,4294001,98,0000000000000180
149047117,6254000,98,80FFFF00FFFFFF00
149052076,4394100,98,7EA7EB0003FE0000
149062195,2294000,98,0000000000000000
149070796,4214001,98,0000D06B04331900
149072936,4394000,98,00000043
149080956,4294001,98,0000000000000180
149083855,421400B,98,00863E0400000000
149094535,4214006,98,0000000000000000
149116175,621401A,98,0005010000000000
149119116,6314000,98,0000000000000000
149121896,4214001,98,0000D06B04331900
149130996,4294001,98,0000000000000180
149152135,4394100,98,7E87EA0003FE0000
149170814,4214001,98,0000D06B04291900
149173355,2214000,98,006800000000
149175495,4394000,98,00000043
149180954,4294001,98,0000000000000180
149183852,421400B,98,00863E0400000000
149194593,4214006,98,0000000000000000
149199233,C214003,98,004604012013
149217013,6264000,98,091EB47FC0242500
149220831,4214001,98,0000D06B04291900
149231012,4294001,98,0000000000000180
149237111,6214000,98,2C004000003A0B00
149252071,4394100,98,7EB7EB0003FD8000
149267090,63D4000,98,565B00000AC00000
149270831,4214001,98,0000D06B04291900
149272971,4394000,98,00000043
